donem,plaka,il,olumlu_yaralanmali_kaza,maddi_hasarli_kaza,olu,yarali,hesaplanan_alan
2025-12,1,Adana,523,621,8,721,
2025-12,2,Adıyaman,156,167,1,250,
2025-12,3,Afyonkarahisar,203,290,1,369,
2025-12,4,Ağrı,67,107,0,113,
2025-12,5,Amasya,128,117,4,234,
2025-12,6,Ankara,1375,7485,11,1812,
2025-12,7,Antalya,1055,1028,7,1315,
2025-12,8,Artvin,25,59,3,40,
2025-12,9,Aydın,390,357,2,507,
2025-12,10,Balıkesir,411,411,2,571,
2025-12,11,Bilecik,64,68,1,107,
2025-12,12,Bingöl,60,82,0,98,
2025-12,13,Bitlis,55,88,0,97,
2025-12,14,Bolu,95,131,1,165,
2025-12,15,Burdur,131,68,0,199,
2025-12,16,Bursa,738,1749,3,972,
2025-12,17,Çanakkale,176,152,7,234,
2025-12,18,Çankırı,62,76,0,106,
2025-12,19,Çorum,175,308,1,262,
2025-12,20,Denizli,352,511,7,470,
2025-12,21,Diyarbakır,299,472,2,482,
2025-12,22,Edirne,107,118,0,139,
2025-12,23,Elazığ,116,172,1,159,
2025-12,24,Erzincan,74,123,0,109,
2025-12,25,Erzurum,109,287,0,198,
2025-12,26,Eskişehir,218,296,2,311,
2025-12,27,Gaziantep,488,497,6,684,
2025-12,28,Giresun,114,115,6,183,
2025-12,29,Gümüşhane,25,59,0,47,
2025-12,30,Hakkari,22,23,0,33,
2025-12,31,Hatay,632,446,5,873,
2025-12,32,Isparta,145,92,2,198,
2025-12,33,Mersin,691,442,6,862,
2025-12,34,İstanbul,3501,6229,14,4215,
2025-12,35,İzmir,1271,2400,13,1556,
2025-12,36,Kars,53,62,1,73,
2025-12,37,Kastamonu,90,102,2,144,
2025-12,38,Kayseri,382,433,2,581,
2025-12,39,Kırklareli,73,115,0,124,
2025-12,40,Kırşehir,72,90,0,104,
2025-12,41,Kocaeli,617,1025,2,793,
2025-12,42,Konya,609,833,4,886,
2025-12,43,Kütahya,163,165,4,232,
2025-12,44,Malatya,185,209,4,282,
2025-12,45,Manisa,480,523,6,640,
2025-12,46,Kahramanmaraş,299,331,3,453,
2025-12,47,Mardin,143,159,6,224,
2025-12,48,Muğla,489,400,7,659,
2025-12,49,Muş,35,59,2,79,
2025-12,50,Nevşehir,109,165,1,171,
2025-12,51,Niğde,101,165,4,156,
2025-12,52,Ordu,225,374,3,320,
2025-12,53,Rize,123,120,1,160,
2025-12,54,Sakarya,363,355,7,497,
2025-12,55,Samsun,447,722,2,590,
2025-12,56,Siirt,54,97,0,75,
2025-12,57,Sinop,81,60,0,121,
2025-12,58,Sivas,126,157,1,226,
2025-12,59,Tekirdağ,306,540,2,380,
2025-12,60,Tokat,169,150,2,255,
2025-12,61,Trabzon,186,290,3,238,
2025-12,62,Tunceli,17,22,0,24,
2025-12,63,Şanlıurfa,370,451,4,578,
2025-12,64,Uşak,111,146,5,168,
2025-12,65,Van,127,199,0,216,
2025-12,66,Yozgat,79,122,1,118,
2025-12,67,Zonguldak,149,163,1,213,
2025-12,68,Aksaray,106,225,1,158,
2025-12,69,Bayburt,9,11,0,12,
2025-12,70,Karaman,66,83,0,94,
2025-12,71,Kırıkkale,87,123,1,132,
2025-12,72,Batman,101,207,0,149,
2025-12,73,Şırnak,80,103,0,120,
2025-12,74,Bartın,44,48,0,58,
2025-12,75,Ardahan,6,29,0,11,
2025-12,76,Iğdır,35,57,0,62,
2025-12,77,Yalova,104,100,1,160,
2025-12,78,Karabük,92,82,2,113,
2025-12,79,Kilis,60,13,0,94,
2025-12,80,Osmaniye,275,123,11,409,
2025-12,81,Düzce,110,107,1,157,
2026-01,1,Adana,475,685,4,640,
2026-01,2,Adıyaman,92,163,3,142,
2026-01,3,Afyonkarahisar,163,294,0,266,
