donem,tablo,kalem,sayi
2025-12,kaza_olus_sekli,Karşılıklı Çarpışma,1144
2025-12,kaza_olus_sekli,Arkadan Çarpma,2556
2025-12,kaza_olus_sekli,Yandan Çarpma,7632
2025-12,kaza_olus_sekli,Yan Yana Çarpışma,406
2025-12,kaza_olus_sekli,Duran Araca Çarpma,302
2025-12,kaza_olus_sekli,Zincirleme Çarpışma,138
2025-12,kaza_olus_sekli,Çoklu Çarpışma,144
2025-12,kaza_olus_sekli,Engel/Cisim ile Çarpışma,1048
2025-12,kaza_olus_sekli,Yayaya Çarpma,3333
2025-12,kaza_olus_sekli,Hayvana Çarpma,69
2025-12,kaza_olus_sekli,Devrilme/Savrulma/Takla,3017
2025-12,kaza_olus_sekli,Yoldan Çıkma,1881
2025-12,kaza_olus_sekli,Araçtan Insan Düşmesi,133
2025-12,kaza_olus_sekli,Araçtan Cisim Düşmesi,9
2025-12,kaza_olus_sekli,Park etmis araca çarpma,249
2025-12,karisan_arac_sayisi,Tek Araçlı,8825
2025-12,karisan_arac_sayisi,İki Araçlı,11714
2025-12,karisan_arac_sayisi,Çok Araçlı,1522
2025-12,kusur_unsurlari,SÜRÜCÜ,23991
2025-12,kusur_unsurlari,YAYA,2132
2025-12,kusur_unsurlari,YOLCU,125
2025-12,kusur_unsurlari,ARAÇ,210
2025-12,kusur_unsurlari,YOL,124
2025-12,surucu_kusurlari,"Araç hızını yol, hava ve trafiğin gerektirdiği şartlara uydurmamak",8946
2025-12,surucu_kusurlari,"Kavşak,geçit ve kaplamanın dar old.yerlerde geçiş önc.uymamak",4021
2025-12,surucu_kusurlari,Şerit izleme ve değiştirme kural.uymamak,1724
2025-12,surucu_kusurlari,Arkadan Çarpma,2128
2025-12,surucu_kusurlari,Doğrultu Değiştirme (dönüş) kurallarına uymamak,1985
2025-12,surucu_kusurlari,Manevraları düzenleyen genel şartlara uymamak,1015
2025-12,surucu_kusurlari,Kırmızı ışık veya görevlinin dur işaretinde durmamak,618
2025-12,surucu_kusurlari,Taşıt giremez trafik işareti bulunan yerlere girmek,854
2025-12,surucu_kusurlari,Trafik güvenliği ile ilgili diğer kurallara uymamak,562
2025-12,surucu_kusurlari,"Yaya ve okul geçitlerinde yavaşlamamak, yayalara geçiş hakkı vermemek",401
2025-12,surucu_kusurlari,Alkollü olarak araç kullanmak,131
2025-12,surucu_kusurlari,Aşırı hızla araç kullanmak,136
2025-12,surucu_kusurlari,Geçme yasağı olan yerlerden geçmek,260
2025-12,surucu_kusurlari,Hatalı şekilde veya yasak olan yerlere park etmek,117
2025-12,surucu_kusurlari,DİĞER,1093
2025-12,karisan_arac_cinsi,Bisiklet,486
2025-12,karisan_arac_cinsi,At Arabası,3
2025-12,karisan_arac_cinsi,Motorlu Bisiklet,2805
2025-12,karisan_arac_cinsi,Motosiklet,8077
2025-12,karisan_arac_cinsi,Otomobil,17427
2025-12,karisan_arac_cinsi,Minibüs,858
2025-12,karisan_arac_cinsi,Kamyonet,4859
2025-12,karisan_arac_cinsi,Kamyon,587
2025-12,karisan_arac_cinsi,Çekici,793
2025-12,karisan_arac_cinsi,Otobüs,594
2025-12,karisan_arac_cinsi,Traktör,142
2025-12,karisan_arac_cinsi,Arazi Taşıtı,5
2025-12,karisan_arac_cinsi,Özel Amaçlı,54
2025-12,karisan_arac_cinsi,İş Makinesi,43
2025-12,karisan_arac_cinsi,Ambulans,26
2025-12,karisan_arac_cinsi,Tanker,12
2025-12,karisan_arac_cinsi,Tren,5
2025-12,karisan_arac_cinsi,Tramvay,12
2025-12,karisan_arac_cinsi,Diğer,472
2025-12,trafik_cezalari,Yayalara Uygulanan,365
2025-12,trafik_cezalari,Yolculara Uygulanan,8358
2025-12,trafik_cezalari,Sürücülere Uygulanan,463781
2025-12,trafik_cezalari,Araç Plakasına Uygulanan,2288888
2025-12,diger_ekip_faaliyetleri,Alkollü Olarak Araç Kullanan,21057
