cadde,konum,enlem,boylam,olay,eslesme_uzakligi_km
Yeşildere Caddesi,Tepecik Köprü Üstü,38.42168,27.1531,1098,0.3
Mürselpaşa Bulvarı,Hilal Köprü Üstü,38.42474,27.14908,1065,0.47
Akçay Caddesi,Serbest Bölge Alt Geçit İçi,38.33586,27.13397,582,0.02
Akçay Caddesi,Gaziemir Alt Geçit İçi,38.31679,27.14045,580,0.01
Anadolu Caddesi,Naldöken Köprü Sonrası,38.46651,27.12936,550,0.01
Yeşildere Caddesi,Tarihi Su Kemerleri Öncesi,38.40884,27.14858,388,0
Konak Tüneli,Konak Tüneli,38.41545,27.12787,375,0.04
Anadolu Caddesi,Naldöken Köprü Öncesi,38.46651,27.12936,316,0.01
Şehitler Caddesi,Halkapınar Köprü Üstü,38.43406,27.16854,278,0.08
Ankara Caddesi,Ege Üniversitesi Viyadük Üstü,38.46138,27.22944,267,0.19
Yeşillik Caddesi,Karabağlar Belediyesi Hizası,38.38857,27.13461,220,0.07
Akçay Caddesi,Sarnıç Alt Geçit İçi,38.31143,27.14218,205,0
Anadolu Caddesi,Turan Köprü Üstü,38.46735,27.14962,187,0.01
Akçay Caddesi,Semt Garajı Hizası,38.35739,27.13539,186,0.06
Yeşildere Caddesi,Tarihi Su Kemerleri Hizası,38.40884,27.14858,173,0
Mustafa Kemal Sahil Bulvarı,Karantina Alt Geçit İçi,38.40839,27.10796,163,0.14
Gaziler Caddesi,Kemer Alt Geçit İçi,38.42223,27.1504,142,0
Yeşildere Caddesi,Hilal Köprü Üstü,38.42652,27.15225,134,0.15
Anadolu Caddesi,Turan Üst Geçit Öncesi,38.46735,27.14962,134,0.01
Mustafa Kemal Sahil Bulvarı,Küçükyalı Kavşak İçi,38.40706,27.10161,133,0.08
Anadolu Caddesi,Karşıyaka Çok Katlı Pazaryeri Hizası,38.4674,27.11658,129,1.06
Anadolu Caddesi,Ayyıldız Kavşak İçi,38.48046,27.09152,127,0.01
Mustafa Kemal Sahil Bulvarı,Karataş Kavşağı Öncesi,38.41046,27.11886,114,0.01
Mustafa Kemal Sahil Bulvarı,Küçükyalı Kavşağı,38.40706,27.10161,112,0.08
Anadolu Caddesi,Turan Otobüs Durakları Sonrası,38.46735,27.14962,111,0.01
Mustafa Kemal Sahil Bulvarı,Karataş Kavşak İçi,38.41078,27.11988,110,0.01
Anadolu Caddesi,Turan Üst Geçit Sonrası,38.46735,27.14962,108,0.01
Yeşildere Caddesi,Mobilya Mağazası Sonrası,38.42637,27.15214,105,1.17
Akçay Caddesi,Gaziemir Alt Geçit Sonrası,38.32582,27.13665,102,0.29
Anadolu Caddesi,Çiğli İtfaiye Hizası,38.4944,27.06168,101,0
Akçay Caddesi,Gaziemir Alt Geçit Öncesi,38.32582,27.13665,98,0.29
Yeşildere Caddesi,Tarihi Su Kemerleri Sonrası,38.40884,27.14858,98,0
Mustafa Kemal Sahil Bulvarı,Göztepe Kavşak İçi,38.4003,27.09155,96,0.01
Mustafa Kemal Sahil Bulvarı,Karataş Kavşağı,38.41046,27.11886,89,0.01
Mustafa Kemal Sahil Bulvarı,Güzelyalı Kavşak İçi,38.39849,27.0848,89,0.01
Anadolu Caddesi,Turan Otobüs Durakları Hizası,38.46735,27.14962,88,0.01
Mustafa Kemal Sahil Bulvarı,Göztepe Kavşağı Öncesi,38.4003,27.09155,86,0.01
Mustafa Kemal Sahil Bulvarı,Marina Kavşak İçi,38.42254,27.13104,85,0.36
Anadolu Caddesi,Şemikler Kavşağı Öncesi,38.4779,27.09604,82,0.28
Mustafa Kemal Sahil Bulvarı,Güzelyalı Kavşağı,38.39849,27.0848,79,0.01
Mustafa Kemal Sahil Bulvarı,Karataş Kavşağı Sonrası,38.41046,27.11886,79,0.01
Ankara Caddesi,Bölge Metro Hizası,38.45564,27.20105,78,0.07
Mustafa Kemal Sahil Bulvarı,Göztepe Kavşağı,38.4003,27.09155,77,0.01
Anadolu Caddesi,Şemikler Kavşak İçi,38.4779,27.09604,70,0.28
Anadolu Caddesi,Şemikler Kavşağı,38.4779,27.09604,66,0.28
Yeşillik Caddesi,Gediz Kavşak İçi,38.40213,27.1294,66,0.46
Mustafa Kemal Sahil Bulvarı,Karantina Alt Geçit Sonrası,38.40839,27.10796,64,0.14
Akçay Caddesi,Serbest Bölge Alt Geçit,38.33586,27.13397,61,0.02
Anadolu Caddesi,Turan Üst Geçit Altı,38.46735,27.14962,59,0.01
Anadolu Caddesi,Turan Otobüs Durakları Öncesi,38.46735,27.14962,58,0.01
Akçay Caddesi,Sarnıç Alt Geçit Sonrası,38.31171,27.143,56,0.15
Akçay Caddesi,Esbaş Alt Geçit İçi,38.33591,27.13407,55,0
Yeşildere Caddesi,Tarihi Su Kemerleri,38.40884,27.14858,53,0
Akçay Caddesi,Sarnıç Alt Geçit Öncesi,38.31171,27.143,52,0.15
Mustafa Kemal Sahil Bulvarı,Marina Kavşağı,38.40738,27.10256,48,0.08
Mustafa Kemal Sahil Bulvarı,Küçükyalı Kavşağı Öncesi,38.40706,27.10161,47,0.08
