ulke,olumluYaralanmaliKaza,olu,binKisiyeOtomobil,milyonOtomobileOlu,milyonKisiyeOlu
TÜRKİYE,288326,6035,202,347,70
ALMANYA,291890,2839,588,58,34
AVUSTURYA,35809,402,566,78,44
BELÇİKA,36855,501,512,83,43
BULGARİSTAN,6993,525,466,178,81
ÇEKYA,20796,502,597,78,46
DANİMARKA,2438,162,474,58,27
ESTONYA,1676,59,630,69,43
FİNLANDİYA,2944,185,664,50,33
FRANSA,51627,3154,573,81,46
GÜNEY KIBRIS RUM YÖNETİMİ,320,34,647,55,36
HIRVATİSTAN,10633,274,495,146,71
HOLLANDA,23795,608,505,68,34
İRLANDA,5517,180,449,76,34
İSPANYA,101306,1806,551,68,37
İSVEÇ,12612,229,472,46,22
İTALYA,166525,3039,694,75,52
LETONYA,3384,142,418,183,76
LİTVANYA,2843,160,589,95,56
LÜKSEMBURG,1101,26,675,58,39
MACARİSTAN,14452,472,435,114,49
MALTA,1390,16,575,50,29
POLONYA,20936,1893,595,88,52
PORTEKİZ,36595,642,550,110,61
ROMANYA,28962,1545,425,193,81
SLOVAKYA,4594,266,487,102,49
SLOVENYA,6011,82,579,67,39
YUNANİSTAN,10553,646,565,110,61
