kara_nokta_no,il,ilce,bolge,km,enlem,boylam
10-78,BALIKESİR,Gönen,14,2+240,40.1027,27.66036
230-01,BALIKESİR,Havran,14,05+300,39.55516,27.08434
565-12,BALIKESİR,Bandırma,14,0+250,40.34247,27.94322
010-08,BARTIN,,15,23+290,41.58353,32.3252
160-02,BİLECİK,,14,21+100,40.17738,29.95292
300-31,BİTLİS,Tatvan,11,27+700,38.52355,42.13765
16-57,BURSA,Mustafakemalpaşa,14,3+150,40.04176,28.39545
100-14,ÇANKIRI,Kurşunlu,15,68+300,40.84901,33.22072
595-12,DENİZLİ,Çivril,2,16+000,38.34722,29.74065
655-01,Düzce,,4,32+000,40.90629,31.14248
300-26,ELAZIĞ,Kovancılar,8,0+190,38.7185,39.86806
260-12,ERZURUM,,12,23+400,39.23842,36.13938
200-08,ESKİŞEHİR,,4,20+000,39.79853,30.44236
665-01,ESKİŞEHİR,,4,0+850,39.75603,30.48305
35-35,İZMİR,Tire,2,0+500,38.09348,27.74323
550-10,İZMİR,Ayrancılar,2,6+400,38.24737,27.26814
200-14,KIRIKKALE,Irmak,4,04+500,39.93435,33.40119
260-07,KIRIKKALE,Karakeçili,4,10+000,39.58002,33.37254
715-08,MERSİN,Silifke,5,43+225,36.39683,33.85492
400-03,MUĞLA,Ortaca,2,49+583,36.93376,28.73976
550-14,MUĞLA,,2,46+000,37.22251,28.32699
54-26,SAKARYA,,1,02+410,40.72648,30.447
650-01,SAKARYA,Karasu,1,01+185,41.10398,30.65819
100-21,TOKAT,,7,14+000,40.4766,36.99785
190-05,TOKAT,Turhal,7,61+200,40.31302,35.96008
